page,id,title,url,path,primaryartist_id,primaryartist_name,Sentimental
,,Shape of You,https://genius.com/Ed-sheeran-shape-of-you-lyrics,,,Ed Sheeran,Positive
,,Uptown Funk,https://genius.com/Mark-ronson-uptown-funk-lyrics,,,Mark Ronson,Positive
,,Sugar,https://genius.com/Maroon-5-sugar-lyrics,,,Maroon 5,Positive
,,Counting Stars,https://genius.com/Onerepublic-counting-stars-lyrics,,,OneRepublic,Positive
,,Shake it Off,https://genius.com/Taylor-swift-shake-it-off-lyrics,,,Taylor Swift,Positive
,,Faded,https://genius.com/Alan-walker-faded-lyrics,,,Alan walker,Positive
,,Perfect,https://genius.com/Ed-sheeran-perfect-lyrics,,,Ed Sheeran,Positive
,,All about that bass,https://genius.com/Meghan-trainor-all-about-that-bass-lyrics,,,Meghan Trainor,Positive
,,Baby,https://genius.com/Justin-bieber-baby-lyrics,,,Justin Bieber,Positive
,,The Lazy Song,https://genius.com/Bruno-mars-the-lazy-song-lyrics,,,Bruno Mars,Positive
,,"Jump Up, Super Star! NDC Festival Edition",https://genius.com/Avicii-wake-me-up-lyrics,,,The Super Mario Players,Positive
,,Something Just Like This,https://genius.com/The-chainsmokers-and-coldplay-something-just-like-this-lyrics,,,The Chainsmokers,Positive
,,Side to Side,https://genius.com/Ariana-grande-side-to-side-lyrics,,,Ariana Grande,Positive
,,Love Yourself,https://genius.com/Justin-bieber-love-yourself-lyrics,,,Justin Bieber,Positive
,,Just the way you are,https://genius.com/Bruno-mars-just-the-way-you-are-lyrics,,,Bruno Mars,Positive
,,Summer,https://genius.com/Calvin-harris-summer-lyrics,,,Calvin Harris,Positive
,,How Deep Is Your Love,https://genius.com/Calvin-harris-how-deep-is-your-love-lyrics,,,Calvin Harris,Positive
,,Hymn For the Weekend,https://genius.com/Coldplay-hymn-for-the-weekend-lyrics,,,Coldplay,Positive
,,Titanium,https://genius.com/David-guetta-titanium-lyrics,,,David Guetta,Positive
,,Dance Monkey,https://genius.com/Tones-and-i-dance-monkey-lyrics,,,Tones and I,Positive
,,24k Magic,https://genius.com/Bruno-mars-24k-magic-lyrics,,,Bruno Mars,Positive
,,Call Me Maybe,https://genius.com/Carly-rae-jepsen-call-me-maybe-lyrics,,,Carly Rae Jepsen,Positive
,,Cant Stop The Feeling,https://genius.com/Justin-timberlake-cant-stop-the-feeling-lyrics,,,Justin Timberlake,Positive
,,Stitches,https://genius.com/Shawn-mendes-stitches-lyrics,,,Shawn Mendes,Positive
,,Firework,https://genius.com/Katy-perry-firework-lyrics,,,Katy Perry,Positive
,,Just Give me A Reason,https://genius.com/P-nk-just-give-me-a-reason-lyrics,,,Pink,Positive
,,Bohemian Rapsody,https://genius.com/Queen-bohemian-rhapsody-lyrics,,,Queen,Positive
,,Take on Me,https://genius.com/A-ha-take-on-me-lyrics,,,a-ha,Positive
,,Cant Feel My Face,https://genius.com/The-weeknd-cant-feel-my-face-lyrics,,,The Weekend,Positive
,,Adventure of a Lifetime,https://genius.com/Coldplay-adventure-of-a-lifetime-lyrics,,,Coldplay,Positive
,,You Belong with Me,https://genius.com/Taylor-swift-you-belong-with-me-lyrics,,,Taylor Swift,Positive
,,Hot N Cold,https://genius.com/Katy-perry-hot-n-cold-lyrics,,,Katy Perry,Positive
,,Bad guy,https://genius.com/Billie-eilish-bad-guy-lyrics,,,Billie Eilish,Positive
,,What's Up,https://genius.com/4-non-blondes-whats-up-lyrics,,,4 Non Blonds,Positive
,,Let Me Love You,https://genius.com/Dj-snake-let-me-love-you-lyrics,,,DJ Snake,Positive
,,Billie Jean,https://genius.com/Michael-jackson-billie-jean-lyrics,,,Michael Jackson,Positive
,,Girls Just Want To Have Fun,https://genius.com/Puffy-amiyumi-cyndi-lauper-girls-just-wanna-have-fun-lyrics,,,Cyndi Lauper,Positive
,,Story of My Life,https://genius.com/One-direction-story-of-my-life-lyrics,,,One Direction,Positive
,,The Final Countdown,https://genius.com/Europe-the-final-countdown-lyrics,,,Europe,Positive
,,Every Breath You Take,https://genius.com/The-police-every-breath-you-take-lyrics,,,The Police,Positive
,,Never Gonna Give You Up,https://genius.com/Rick-astley-never-gonna-give-you-up-lyrics,,,Rick Astley,Positive
,,I Need Your Love,https://genius.com/Calvin-harris-i-need-your-love-lyrics,,,Calvin Harris,Positive
,,Party in the USA,https://genius.com/Miley-cyrus-party-in-the-usa-lyrics,,,Miley Cyrus,Positive
,,Livin On a Prayer,https://genius.com/Bon-jovi-livin-on-a-prayer-lyrics,,,Bon Jovi,Positive
,,Dont You Worry Child,https://genius.com/Swedish-house-mafia-dont-you-worry-child-lyrics,,,Swedish House Mafia,Positive
,,Happy,https://genius.com/Pharrell-williams-happy-lyrics,,,Pharrell Williams,Positive
,,Moves Like Jagger,https://genius.com/Maroon-5-moves-like-jagger-lyrics,,,Maroon 5,Positive
,,One Kiss,https://genius.com/Calvin-harris-and-dua-lipa-one-kiss-lyrics,,,Calvin Harris,Positive
,,Pumped up Kicks,https://genius.com/Foster-the-people-pumped-up-kicks-lyrics,,,Foster the People,Positive
,,Viva La Vida,https://genius.com/Coldplay-viva-la-vida-lyrics,,,Coldplay,Positive
,,All I want for Christmas Is You,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics,,,Mariah Carey,Positive
,,Dont Stop Me Now,https://genius.com/Queen-dont-stop-me-now-lyrics,,,Queen,Positive
New Music,,Sad,https://genius.com/Miraa-may-sad-lyrics,,,Miraa May,Negative
,,I Don't Want to Miss a Thing,https://genius.com/Aerosmith-i-dont-want-to-miss-a-thing-lyrics,,,Aerosmith,Negative
,,You and Me,https://genius.com/Lifehouse-you-and-me-lyrics,,,Lifehouse,Negative
,,Soundtrack 2 My Life,https://genius.com/Kid-cudi-soundtrack-2-my-life-lyrics,,,Kid Cudi,Negative
,,Somebody Else,https://genius.com/The-1975-somebody-else-lyrics,,,The 1975,Negative
,,Ice Box,https://genius.com/Omarion-ice-box-lyrics,,,Omarion,Negative
,,Sinner Pt. 4,https://genius.com/Phora-sinner-pt-4-lyrics,,,phora,Negative
,,See You Again,https://genius.com/Wiz-khalifa-see-you-again-lyrics,,,Wiz Khalifa,Negative
,,When Did I Lose It All?,https://genius.com/Pale-waves-when-did-i-lose-it-all-lyrics,,,Pale Waves,Negative
,,Guns of Umpqua ,https://genius.com/Drive-by-truckers-guns-of-umpqua-lyrics,,,Drive-By Truckers,Negative
,,Jar of Hearts,https://genius.com/Christina-perri-jar-of-hearts-lyrics,,,Christina Perri,Negative
,,Modern Misery,https://genius.com/Architects-modern-misery-lyrics,,,Architects,Negative
,,Talk,https://genius.com/Coldplay-talk-lyrics,,,Coldplay,Negative
,,Telescope,https://genius.com/Cage-the-elephant-telescope-lyrics,,,Cage The Elephant,Negative
,,Let Me Down Slowly,https://genius.com/Alec-benjamin-let-me-down-slowly-lyrics,,,Alec Benjamin,Negative
,,worthless,https://genius.com/Eli-usa-worthless-lyrics,,,eli. (USA),Negative
,,Something In The Way,https://genius.com/Nirvana-something-in-the-way-lyrics,,,Nirvana,Negative
,,Paralyzed,https://genius.com/Nf-paralyzed-lyrics,,,NF,Negative
,,When You Die,https://genius.com/Mgmt-when-you-die-lyrics,,,MGMT,Negative
,,Anxiety,https://genius.com/B-mike-anxiety-lyrics,,,Bmike,Negative
,,How Could You Leave Us,https://genius.com/Nf-how-could-you-leave-us-lyrics,,,NF,Negative
,,Graduation,https://genius.com/Yellopain-graduation-lyrics,,,YelloPain,Negative
,,1-800-273-8255,https://genius.com/Logic-1-800-273-8255-lyrics,,,Logic,Negative
,,GHOST,https://genius.com/Witt-lowry-ghost-lyrics,,,Witt Lowry,Negative
,,Truce,https://genius.com/Twenty-one-pilots-truce-lyrics,,,twenty one pilots,Negative
,,Neon Gravestones,https://genius.com/Twenty-one-pilots-neon-gravestones-lyrics,,,twenty one pilots,Negative
,,Kitchen Sink,https://genius.com/Twenty-one-pilots-kitchen-sink-lyrics,,,twenty one pilots,Negative
,,Jim Wise,https://genius.com/Sun-kil-moon-jim-wise-lyrics,,,Sun Kil Moon,Negative
,,I'm Going to Do It,https://genius.com/Giles-corey-im-going-to-do-it-lyrics,,,Giles Corey,Negative
