page,id,,url,path,primaryartist_id,primaryartist_name,Sentimental,genre
,,Hot girl bummer,https://genius.com/Dermot-kennedy-giants-lyrics,,,Blackbear,Negative,Pop
,,Let It Burn,https://genius.com/Fletcher-bitter-lyrics,,,Red,Negative,Pop
,,Dead Inside,https://genius.com/Luke-combs-without-you-lyrics,,,Skillet,Negative,Country
,,Don't Wake Me,https://genius.com/Kane-brown-swae-lee-and-khalid-be-like-that-lyrics,,,Skillet,Negative,Country
,,Comatose,https://genius.com/Keith-urban-and-p-nk-one-too-many-lyrics,,,Skillet,Negative,Country
,,Pain,https://genius.com/Dan-shay-i-should-probably-go-to-bed-lyrics,,,Three Days Grace,Negative,Country
,,Good Life,https://genius.com/Blake-shelton-happy-anywhere-lyrics,,,OneRepublic,Positive,Country
,,Drinkin' Problem,https://genius.com/Midland-drinkin-problem-lyrics,,,Midland,Negative,Country
,,Heartless,https://genius.com/Diplo-heartless-lyrics,,,"Diplo, Morgan Wallen",Negative,Country
,,Dirt On My Boots,https://genius.com/Jon-pardi-dirt-on-my-boots-lyrics,,,Jon Pardi,Positive,Country
,,Hurricane,https://genius.com/Luke-combs-hurricane-lyrics,,,Luke Combs,Negative,Country
,,Round Here,https://genius.com/Florida-georgia-line-round-here-lyrics,,,Flordia Georgia Line,Positive,Country
,,Alright,https://genius.com/Darius-rucker-alright-lyrics,,,Darius Rucker,Positive,Country
,,"1, 2 Many",https://genius.com/Luke-combs-1-2-many-lyrics,,,"Luke Combs, Brooks & Dunn",Positive,Country
,,Neon Moon,https://genius.com/Brooks-and-dunn-neon-moon-lyrics,,,Brooks & Dunn,Negative,Country
,,Unforgettable,https://genius.com/Thomas-rhett-unforgettable-lyrics,,,Thomas Rhett,Positive,Country
,,Don't It,https://genius.com/Billy-currington-dont-it-lyrics,,,Billy Currington,Positive,Country
,,Jamming,https://genius.com/Bob-marley-and-the-wailers-jamming-lyrics,,,Bob Marley & The Wailers,Positive,Reggae
,,No Woman No Cry,https://genius.com/Bob-marley-and-the-wailers-no-woman-no-cry-lyrics,,,Bob Marley & The Wailers,Negative,Reggae
,,Lightning,https://genius.com/Mortimer-lightning-lyrics,,,Mortimer,Positive,Reggae
,,Guns of Brixton,https://genius.com/Jimmy-cliff-guns-of-brixton-lyrics,,,Jimmy Cliff,Negative,Reggae
,,Dem Gone,https://genius.com/Gentleman-dem-gone-lyrics,,,Gentleman,Negative,Reggae
,,Demons,https://genius.com/Romain-virgo-dutty-man-lyrics,,,Imagine Dragons,Negative,Reggae
,,Is this love,https://genius.com/Bob-marley-and-the-wailers-is-this-love-lyrics,,,Bob Marley & The Wailers,Positive,Reggae
,,Things in Life,https://genius.com/Dennis-brown-things-in-life-lyrics,,,Dennis Brown,Negative,Reggae
,,That's Not True,https://genius.com/Skip-marley-thats-not-true-lyrics,,,"Skip Marley, Damian Marley",Negative,Reggae
,,Rapture,https://genius.com/Koffee-rapture-lyrics,,,Koffee,Negative,Reggae
,,Stepping Out,https://genius.com/Steel-pulse-stepping-out-live-lyrics,,,Steel Pulse,Positive,Reggae
,,Love is gonna let me down,https://genius.com/Toots-and-the-maytals-love-is-gonna-let-me-down-lyrics,,,Toots and the Maytals,Positive,Reggae
,,John Crow,https://genius.com/Jimmy-cliff-john-crow-lyrics,,,Jimmy Cliff,Negative,Reggae
,,Just a little bit longer,https://genius.com/Maxi-priest-just-a-little-bit-longer-lyrics,,,Maxi Priest,Negative,Reggae
,,Careful,https://genius.com/Mortimer-careful-lyrics,,,Mortimer,Negative,Reggae
,,I'm Glad There Is You,https://genius.com/Julie-london-im-glad-there-is-you-lyrics,,,Julie London,Positive,Jazz
,,Please Love Me Forever,https://genius.com/Bobby-vinton-please-love-me-forever-lyrics,,,Bobby Vinton,Positive,Jazz
,,I've Got A Crush On You,https://genius.com/Ella-fitzgerald-ive-got-a-crush-on-you-lyrics,,,Ella Fitzgerald,Positive,Jazz
,,Fly Me To THe Moon,https://genius.com/Frank-sinatra-fly-me-to-the-moon-lyrics,,,"Frank Sinatra, Count Basie",Positive,Jazz
,,My Foolish Heart,https://genius.com/Bill-evans-trio-my-foolish-heart-lyrics,,,Bill Evans Trio,Positive,Jazz
,,At Last,https://genius.com/Etta-james-at-last-lyrics,,,Etta James,Positive,Jazz
,,Wow,https://genius.com/Miles-davis-blue-in-green-lyrics,,,Post Malone,Positive,Jazz
,,I'll Be Seeing You,https://genius.com/Billie-holiday-ill-be-seeing-you-lyrics,,,Billie Holiday,Negative,Jazz
,,Paradise,https://genius.com/Chet-baker-if-you-could-see-me-now-lyrics,,,Coldplay,Positive,Jazz
,,Ain't That A Kick In The Head,https://genius.com/Dean-martin-aint-that-a-kick-in-the-head-lyrics,,,Dean Martin,Positive,Jazz
,,It's Beginning to Look a Lot like Christmas,https://genius.com/Michael-buble-its-beginning-to-look-a-lot-like-christmas-lyrics,,,Michael Buble,Positive,Christmas Music
,,All I Want for Christmas Is You,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics,,,Mariah Carey,Positive,Christmas Music
,,Last Christmas,https://genius.com/Wham-last-christmas-lyrics,,,Wham!,Negative,Christmas Music
,,Rockin' Around The Christmas Tree,https://genius.com/Brenda-lee-rockin-around-the-christmas-tree-lyrics,,,Brenda Lee,Positive,Christmas Music
,,Jingle Bell Rock,https://genius.com/Bobby-helms-jingle-bell-rock-lyrics,,,Bobby Helms,Positive,Christmas Music
,,It's the Most Wonderful Time of the Year,https://genius.com/Andy-williams-its-the-most-wonderful-time-of-the-year-lyrics,,,Andy Williams,Positive,Christmas Music
,,"Let It Snow, Let It Snow, Let It Snow",https://genius.com/Dean-martin-let-it-snow-let-it-snow-let-it-snow-lyrics,,,Dean Martin,Positive,Christmas Music
,,Sleigh Ride,https://genius.com/The-ronettes-sleigh-ride-lyrics,,,The Ronettes,Positive,Christmas Music
,,Feliz Navidad,https://genius.com/Jose-feliciano-feliz-navidad-lyrics,,,Jose Feliciano,Positive,Christmas Music
,,Wonderful Christmastime,https://genius.com/Paul-mccartney-wonderful-christmastime-lyrics,,,Paul McCartney,Positive,Christmas Music
New Songs,,Breakaway,https://genius.com/Kelly-clarkson-breakaway-lyrics,,,Kelly Clarkson,Negative,
,,How to Save A Life,https://genius.com/The-fray-how-to-save-a-life-lyrics,,,The Fray,Negative,
,,Unwritten,https://genius.com/Natasha-bedingfield-unwritten-lyrics,,,Natasha Bedingfield,Negative,
,,Don't Stop Believin',https://genius.com/Journey-dont-stop-believin-lyrics ,,,Journey,Positive,
,,Boulevard of Broken Dreams,https://genius.com/Green-day-boulevard-of-broken-dreams-lyrics,,,Green Day,Negative,
,,I bleed,https://genius.com/Bee-gees-stayin-alive-lyrics,,,Outcast Youth,Negative,
,,Breaking The Habit,https://genius.com/Linkin-park-breaking-the-habit-lyrics,,,Linkin Park,Negative,
,,Heads Will Roll,https://genius.com/Yeah-yeah-yeahs-heads-will-roll-lyrics,,,Yeah Yeah Yeahs,Negative,
,,Blue (Da Ba Dee),https://genius.com/Eiffel-65-blue-da-ba-dee-lyrics,,,Eiffel 65,Negative,
,,It's My Life,https://genius.com/Bon-jovi-its-my-life-lyrics,,,Bon Jovi,Negative,
,,Would it matter,https://genius.com/Styx-mr-roboto-lyrics,,,Skillet,Negative,
,,Superstition,https://genius.com/Stevie-wonder-superstition-lyrics,,,Stevie Wonder,Negative,
,,Tiptoe,https://genius.com/Imagine-dragons-tiptoe-lyrics,,,Imagine Dragons,Negative,
,,Try,https://genius.com/Colbie-caillat-try-lyrics,,,Colbie Caillat,Negative,
,,Zombie,https://genius.com/The-cranberries-zombie-lyrics,,,The Cranberries,Negative,
,,Fuck You,https://genius.com/Lily-allen-fuck-you-lyrics,,,Lily Allen,Negative,
,,Raise Your Glass,https://genius.com/P-nk-raise-your-glass-lyrics,,,P!nk,Negative,
,,TiK ToK,https://genius.com/Kesha-tik-tok-lyrics,,,Kesha,Negative,
,,We Didn't Start the Fire,https://genius.com/Billy-joel-we-didnt-start-the-fire-lyrics,,,Billy Joel,Negative,
,,Just Dance,https://genius.com/Lady-gaga-just-dance-lyrics,,,Lady Gaga,Positive,
,,Suffering ,https://genius.com/The-war-on-drugs-suffering-lyrics,,,The War On Drugs,Negative,
,,Under the Bridge,https://genius.com/Red-hot-chili-peppers-under-the-bridge-lyrics,,,Red Hot Chili Peppers,Negative,
,,Girls Just Want To Have Fun,https://genius.com/Cyndi-lauper-girls-just-want-to-have-fun-lyrics,,,Cyndi Lauper,Negative,
,,Jerk It Out,https://genius.com/Caesars-jerk-it-out-lyrics,,,Caesars,Negative,
,,Suicide note,https://genius.com/Noah-cyrus-lonely-lyrics,,,Kyle Spratt,Negative,
,,The Last Night,https://genius.com/The-neighbourhood-daddy-issues-lyrics,,,Skillet,Negative,
,,Misery of Business,https://genius.com/Paramore-misery-business-lyrics,,,Paramore,Negative,
,,My Immortal,https://genius.com/Evanescence-my-immortal-lyrics,,,Evanescence,Negative,
,,SAD!,https://genius.com/Xxxtentacion-sad-lyrics,,,XXXTENTACION,Negative,
,,Moonlight,https://genius.com/Xxxtentacion-moonlight-lyrics,,,XXXTENTACION,Negative,
,,Numb,https://genius.com/Linkin-park-numb-lyrics,,,Linkin Park,Negative,
,,Face Down,https://genius.com/The-red-jumpsuit-apparatus-face-down-lyrics,,,The Red Jumpsuit,Negative,
,,Just Like a Pill,https://genius.com/P-nk-just-like-a-pill-lyrics,,,P!nk,Negative,
,,Misery,https://genius.com/P-nk-misery-lyrics,,,P!nk,Negative,
,,Numb,https://genius.com/Linkin-park-numb-lyrics,,,P!nk,Negative,
,,Lonely Girl,https://genius.com/P-nk-lonely-girl-lyrics,,,P!nk,Negative,
,,21 Guns,https://genius.com/Green-day-21-guns-lyrics,,,Green Day,Negative,
,,99 Red Balloons,https://genius.com/Nena-99-red-balloons-single-version-lyrics,,,Nena,Negative,
,,Given Up,https://genius.com/Linkin-park-given-up-lyrics,,,Linkin Park,Negative,
